,FEN
224,rq4k15ppp1r1bpn2p2p4B1pP1P2P1BbP1N1RP4PP2Q1R1K1
225,rq4k15pp11r1bpn2p2p3pB1pP1P2P1BbP1N1RP4PP2Q1R1K1
226,rq4k15pp11r1bpn2p2p3pB1pP1P1PP1BbP1N1RP4P12Q1R1K1
227,r2q2k15pp11r1bpn2p2p3pB1pP1P1PP1BbP1N1RP4P12Q1R1K1
228,r2q2k15pp11r1bpn2p2p3p2pP1P1PP1BbP1N1RP4P12QBR1K1
229,r2q2k15p21r1bpnp1p2p3p2pP1P1PP1BbP1N1RP4P12QBR1K1
230,r2q2k15p21r1bpnp1p2p3p2pP1P1PP1BbP1N1RP1Q2P13BR1K1
231,rr1q2k15p23bpnp1p2p3p2pP1P1PP1BbP1N1RP1Q2P13BR1K1
232,rr1q2k15p23bpnp1p2p3p2pP1P1PP1BbP1N1RP3QP13BR1K1
233,rr1q2k14bp24pnp1p2p3p2pP1P1PP1BbP1N1RP3QP13BR1K1
234,rr1q2k14bp24pnp1p2p3p2pP1P1PP1BbPBN1RP3QP14R1K1
235,rr1q2k14bp24p1p1p2p3p2pPnP1PP1BbPBN1RP3QP14R1K1
236,rr1q2k14bp24p1p1p2p3p2pPBP1PP1BbP1N1RP3QP14R1K1
237,rr1q2k14bp24p1p1p6p2pPpP1PP1BbP1N1RP3QP14R1K1
238,rr1q2k14bp24p1p1p6p2pPpP1PP1BbP3RP3QP14R1KN
239,rr1q2k15p24p1p1p6p2pPpP1bP1BbP3RP3QP14R1KN
240,rr1q2k15p24p1p1p6p2pPpP1bP1BbP1P1RP3Q24R1KN
241,rr1q2k14bp24p1p1p6p2pPpP2P1BbP1P1RP3Q24R1KN
242,rr1q2k14bp24p1p1p6p2pPpP2P1BbP1P1RP1Q44R1KN
243,rr4k14bp24p1p1p2q3p2pPpP2P1BbP1P1RP1Q44R1KN
244,rr4k14bp24p1p1p2q3p2pPpP2P1BbP1P1RP1Q1N24R1K1
245,rr4k14bp24p1p13q3pp1pPpP2P1BbP1P1RP1Q1N24R1K1
246,rr4k14bp24p1p13q3pp1pPpP2P1BbP1P1RP1Q1NK14R3
247,r5k14bp24p1p13q3pp1pPpP2PrBbP1P1RP1Q1NK14R3
248,r5k14bp24p1p13q3pp1pPpP2PrBbP1P1RP1Q1NK17R
249,r74bpk14p1p13q3pp1pPpP2PrBbP1P1RP1Q1NK17R
250,r74bpk14p1p13q3pp1pPpP2PrBbP1P11P1Q1NK1R6R
251,r2b45pk14p1p13q3pp1pPpP2PrBbP1P11P1Q1NK1R6R
252,r2b45pk14p1p13q3pp1pPpPP1PrBbP31P1Q1NK1R6R
253,r2b45pk14p1p13q4p1pPpPp1PrBbP31P1Q1NK1R6R
254,r2b45pk14p1p13q4p1pPpPN1PrBbP31P1Q2K1R6R
255,r75pk14p1p1b2q4p1pPpPN1PrBbP31P1Q2K1R6R
256,r75pkR4p1p1b2q4p1pPpPN1PrBbP31P1Q2K1R7
257,r4k25p1R4p1p1b2q4p1pPpPN1PrBbP31P1Q2K1R7
258,r4k1R5p24p1p1b2q4p1pPpPN1PrBbP31P1Q2K1R7
259,r6R5pk14p1p1b2q4p1pPpPN1PrBbP31P1Q2K1R7
260,r4k25p1R4p1p1b2q4p1pPpPN1PrBbP31P3QK1R7
261,r2b1k25p1R4p1p13q4p1pPpPN1PrBbP31P3QK1R7
262,r2b1k25p1R4p1p13qN3p1pPpP2PrBbP31P3QK1R7
263,r2b2k15p1R4p1p13qN3p1pPpP2PrBbP31P3QK1R7
264,r2b2k15p1R4p1p13qN3p1pPpP2PrBbP31P3QK17R
265,r5k15p1R4pbp13qN3p1pPpP2PrBbP31P3QK17R
266,r5k15R24pbp13qN3p1pPpP2PrBbP31P3QK17R
267,5rk15R24pbp13qN3p1pPpP2PrBbP31P3QK17R
268,5rk184pRp13qN3p1pPpP2PrBbP31P3QK17R
269,r1bqkbnrpppp1ppp2n51B2p34P35N2PPPP1PPPRNBQK2R
270,r1bqkb1rpppp1ppp2n2n21B2p34P35N2PPPP1PPPRNBQK2R
271,r1bqkb1rpppp1ppp2n2n21B2p34P35N2PPPP1PPPRNBQ1RK1
272,r1bqkb1rpppp1ppp2n51B2p34n35N2PPPP1PPPRNBQ1RK1
273,r1bqkb1rpppp1ppp2n51B2p34n35N2PPPP1PPPRNBQR1K1
274,r1bqkb1rpppp1ppp2nn41B2p385N2PPPP1PPPRNBQR1K1
275,r1bqkb1rpppp1ppp2nn41B2N388PPPP1PPPRNBQR1K1
276,r1bqkb1rpppp1ppp3n41B2n388PPPP1PPPRNBQR1K1
277,r1bqkb1rpppp1ppp3n41B2R388PPPP1PPPRNBQ2K1
278,r1bqk2rppppbppp3n41B2R388PPPP1PPPRNBQ2K1
279,r1bqk2rppppbppp3n44R388PPPP1PPPRNBQ1BK1
280,r1bq1rk1ppppbppp3n44R388PPPP1PPPRNBQ1BK1
281,r1bq1rk1ppppbppp3n44R33P48PPP2PPPRNBQ1BK1
282,r1bq1rk1pppp1ppp3n1b24R33P48PPP2PPPRNBQ1BK1
283,r1bq1rk1pppp1ppp3n1b283P48PPP2PPPRNBQRBK1
284,r1bqr1k1pppp1ppp3n1b283P48PPP2PPPRNBQRBK1
285,r1bqr1k1pppp1ppp3n1b283P42P5PP3PPPRNBQRBK1
286,r1bq2k1pppp1ppp3n1b283P42P5PP3PPPRNBQrBK1
287,r1bq2k1pppp1ppp3n1b283P42P5PP3PPPRNB1QBK1
288,r1bq2k1pppp1ppp5b25n23P42P5PP3PPPRNB1QBK1
289,r1bq2k1pppp1ppp5b25n23P1B22P5PP3PPPRN2QBK1
290,r1bq2k1ppp2ppp3p1b25n23P1B22P5PP3PPPRN2QBK1
291,r1bq2k1ppp2ppp3p1b25n23P1B22P5PP1N1PPPR3QBK1
292,r2q2k1ppp2ppp3pbb25n23P1B22P5PP1N1PPPR3QBK1
293,r2q2k1ppp2ppp3pbb25n23P1B22PB4PP1N1PPPR3Q1K1
294,r2q2k1ppp2ppp3pbb283P1B1n2PB4PP1N1PPPR3Q1K1
295,r2q2k1ppp2ppp3pbb283PNB1n2PB4PP3PPPR3Q1K1
296,r2q2k1ppp2ppp3pbbn183PNB22PB4PP3PPPR3Q1K1
297,r2q2k1ppp2ppp3pbbn183PN32PB4PP1B1PPPR3Q1K1
298,r2q2k1ppp2ppp4bbn13p43PN32PB4PP1B1PPPR3Q1K1
299,r2q2k1ppp2ppp4bbn12Np43P42PB4PP1B1PPPR3Q1K1
300,r1bq2k1ppp2ppp5bn12Np43P42PB4PP1B1PPPR3Q1K1
301,r1bq2k1ppp2ppp5bn12Np43P42PBQ3PP1B1PPPR5K1
302,r1bq2k1p1p2ppp1p3bn12Np43P42PBQ3PP1B1PPPR5K1
303,r1bq2k1p1p2ppp1p3bn13p43P41NPBQ3PP1B1PPPR5K1
304,r1b3k1p1p2ppp1p1q1bn13p43P41NPBQ3PP1B1PPPR5K1
305,r1b1Q1k1p1p2ppp1p1q1bn13p43P41NPB4PP1B1PPPR5K1
306,r1b1Qnk1p1p2ppp1p1q1b23p43P41NPB4PP1B1PPPR5K1
307,r1b1Qnk1p1p2ppp1p1q1b23p43P41NPB4PP1B1PPP4R1K1
308,r3Qnk1pbp2ppp1p1q1b23p43P41NPB4PP1B1PPP4R1K1
309,r4nk1pbp2ppp1p1q1b23p43P41NPBQ3PP1B1PPP4R1K1
310,r5k1pbp2ppp1p1qnb23p43P41NPBQ3PP1B1PPP4R1K1
311,r5k1pbp2ppp1p1qnb23p43P41NPB1Q2PP1B1PPP4R1K1
